Temperature - (Celsius), Year, Statistics, Country, ISO3
17.3617, 1943, Jul Average, Netherlands, NLD
17.3267, 1943, Aug Average, Netherlands, NLD
14.05, 1943, Sep Average, Netherlands, NLD
11.0731, 1943, Oct Average, Netherlands, NLD
5.10103, 1943, Nov Average, Netherlands, NLD
2.33465, 1943, Dec Average, Netherlands, NLD
5.14119, 1944, Jan Average, Netherlands, NLD
1.80947, 1944, Feb Average, Netherlands, NLD
3.76965, 1944, Mar Average, Netherlands, NLD
9.33268, 1944, Apr Average, Netherlands, NLD
11.6811, 1944, May Average, Netherlands, NLD
13.9236, 1944, Jun Average, Netherlands, NLD
17.0699, 1944, Jul Average, Netherlands, NLD
19.4055, 1944, Aug Average, Netherlands, NLD
13.3567, 1944, Sep Average, Netherlands, NLD
9.66688, 1944, Oct Average, Netherlands, NLD
6.2721, 1944, Nov Average, Netherlands, NLD
3.06489, 1944, Dec Average, Netherlands, NLD
-1.584, 1945, Jan Average, Netherlands, NLD
5.96454, 1945, Feb Average, Netherlands, NLD
7.7409, 1945, Mar Average, Netherlands, NLD
9.89928, 1945, Apr Average, Netherlands, NLD
13.8141, 1945, May Average, Netherlands, NLD
16.0587, 1945, Jun Average, Netherlands, NLD
18.1505, 1945, Jul Average, Netherlands, NLD
16.757, 1945, Aug Average, Netherlands, NLD
14.9098, 1945, Sep Average, Netherlands, NLD
11.7936, 1945, Oct Average, Netherlands, NLD
5.40925, 1945, Nov Average, Netherlands, NLD
4.00567, 1945, Dec Average, Netherlands, NLD
0.44119, 1946, Jan Average, Netherlands, NLD
4.74415, 1946, Feb Average, Netherlands, NLD
4.51034, 1946, Mar Average, Netherlands, NLD
10.1166, 1946, Apr Average, Netherlands, NLD
12.8146, 1946, May Average, Netherlands, NLD
14.1422, 1946, Jun Average, Netherlands, NLD
17.8097, 1946, Jul Average, Netherlands, NLD
16.3247, 1946, Aug Average, Netherlands, NLD
14.7865, 1946, Sep Average, Netherlands, NLD
9.50434, 1946, Oct Average, Netherlands, NLD
6.6082, 1946, Nov Average, Netherlands, NLD
0.53229, 1946, Dec Average, Netherlands, NLD
-1.198, 1947, Jan Average, Netherlands, NLD
-4.0069, 1947, Feb Average, Netherlands, NLD
3.54526, 1947, Mar Average, Netherlands, NLD
9.15733, 1947, Apr Average, Netherlands, NLD
15.0226, 1947, May Average, Netherlands, NLD
17.341, 1947, Jun Average, Netherlands, NLD
19.0533, 1947, Jul Average, Netherlands, NLD
20.1849, 1947, Aug Average, Netherlands, NLD
17.2586, 1947, Sep Average, Netherlands, NLD
10.0811, 1947, Oct Average, Netherlands, NLD
7.13473, 1947, Nov Average, Netherlands, NLD
4.30545, 1947, Dec Average, Netherlands, NLD
5.0336, 1948, Jan Average, Netherlands, NLD
3.00006, 1948, Feb Average, Netherlands, NLD
7.37568, 1948, Mar Average, Netherlands, NLD
10.0659, 1948, Apr Average, Netherlands, NLD
13.2047, 1948, May Average, Netherlands, NLD
15.244, 1948, Jun Average, Netherlands, NLD
16.7978, 1948, Jul Average, Netherlands, NLD
16.8221, 1948, Aug Average, Netherlands, NLD
14.6645, 1948, Sep Average, Netherlands, NLD
10.1832, 1948, Oct Average, Netherlands, NLD
6.02899, 1948, Nov Average, Netherlands, NLD
4.28966, 1948, Dec Average, Netherlands, NLD
4.03548, 1949, Jan Average, Netherlands, NLD
4.4706, 1949, Feb Average, Netherlands, NLD
4.32768, 1949, Mar Average, Netherlands, NLD
10.5914, 1949, Apr Average, Netherlands, NLD
11.6663, 1949, May Average, Netherlands, NLD
14.3448, 1949, Jun Average, Netherlands, NLD
17.7439, 1949, Jul Average, Netherlands, NLD
17.5662, 1949, Aug Average, Netherlands, NLD
17.6853, 1949, Sep Average, Netherlands, NLD
12.1253, 1949, Oct Average, Netherlands, NLD
5.70394, 1949, Nov Average, Netherlands, NLD
5.13968, 1949, Dec Average, Netherlands, NLD
1.48801, 1950, Jan Average, Netherlands, NLD
5.45431, 1950, Feb Average, Netherlands, NLD
6.86343, 1950, Mar Average, Netherlands, NLD
7.75898, 1950, Apr Average, Netherlands, NLD
13.0044, 1950, May Average, Netherlands, NLD
17.1704, 1950, Jun Average, Netherlands, NLD
17.752, 1950, Jul Average, Netherlands, NLD
17.863, 1950, Aug Average, Netherlands, NLD
13.6113, 1950, Sep Average, Netherlands, NLD
9.58586, 1950, Oct Average, Netherlands, NLD
6.00621, 1950, Nov Average, Netherlands, NLD
0.01532, 1950, Dec Average, Netherlands, NLD
3.71017, 1951, Jan Average, Netherlands, NLD
3.74962, 1951, Feb Average, Netherlands, NLD
3.98044, 1951, Mar Average, Netherlands, NLD
7.09231, 1951, Apr Average, Netherlands, NLD
11.7019, 1951, May Average, Netherlands, NLD
14.7289, 1951, Jun Average, Netherlands, NLD
16.6177, 1951, Jul Average, Netherlands, NLD
16.6414, 1951, Aug Average, Netherlands, NLD
15.1183, 1951, Sep Average, Netherlands, NLD
8.64634, 1951, Oct Average, Netherlands, NLD
8.30182, 1951, Nov Average, Netherlands, NLD
4.91567, 1951, Dec Average, Netherlands, NLD
2.40913, 1952, Jan Average, Netherlands, NLD
2.25805, 1952, Feb Average, Netherlands, NLD
5.07491, 1952, Mar Average, Netherlands, NLD
10.4067, 1952, Apr Average, Netherlands, NLD
13.1652, 1952, May Average, Netherlands, NLD
14.9387, 1952, Jun Average, Netherlands, NLD
17.4467, 1952, Jul Average, Netherlands, NLD
17.3167, 1952, Aug Average, Netherlands, NLD
11.3621, 1952, Sep Average, Netherlands, NLD
8.27999, 1952, Oct Average, Netherlands, NLD
3.19346, 1952, Nov Average, Netherlands, NLD
1.85269, 1952, Dec Average, Netherlands, NLD
1.2594, 1953, Jan Average, Netherlands, NLD
1.9426, 1953, Feb Average, Netherlands, NLD
5.28033, 1953, Mar Average, Netherlands, NLD
8.65798, 1953, Apr Average, Netherlands, NLD
13.0574, 1953, May Average, Netherlands, NLD
15.4529, 1953, Jun Average, Netherlands, NLD
16.7686, 1953, Jul Average, Netherlands, NLD
16.7319, 1953, Aug Average, Netherlands, NLD
13.9956, 1953, Sep Average, Netherlands, NLD
11.5154, 1953, Oct Average, Netherlands, NLD
7.19285, 1953, Nov Average, Netherlands, NLD
5.62893, 1953, Dec Average, Netherlands, NLD
-0.0943, 1954, Jan Average, Netherlands, NLD
-0.6075, 1954, Feb Average, Netherlands, NLD
5.87458, 1954, Mar Average, Netherlands, NLD
6.5774, 1954, Apr Average, Netherlands, NLD
12.6961, 1954, May Average, Netherlands, NLD
14.875, 1954, Jun Average, Netherlands, NLD
14.3759, 1954, Jul Average, Netherlands, NLD
15.8666, 1954, Aug Average, Netherlands, NLD
13.5868, 1954, Sep Average, Netherlands, NLD
11.5443, 1954, Oct Average, Netherlands, NLD
6.68337, 1954, Nov Average, Netherlands, NLD
5.60538, 1954, Dec Average, Netherlands, NLD
0.53252, 1955, Jan Average, Netherlands, NLD
0.16117, 1955, Feb Average, Netherlands, NLD
2.03678, 1955, Mar Average, Netherlands, NLD
7.93954, 1955, Apr Average, Netherlands, NLD
10.1264, 1955, May Average, Netherlands, NLD
14.1828, 1955, Jun Average, Netherlands, NLD
17.5379, 1955, Jul Average, Netherlands, NLD
17.9452, 1955, Aug Average, Netherlands, NLD
14.5924, 1955, Sep Average, Netherlands, NLD
9.41012, 1955, Oct Average, Netherlands, NLD
6.47707, 1955, Nov Average, Netherlands, NLD
4.92977, 1955, Dec Average, Netherlands, NLD
2.23017, 1956, Jan Average, Netherlands, NLD
-4.3149, 1956, Feb Average, Netherlands, NLD
5.11699, 1956, Mar Average, Netherlands, NLD
5.62045, 1956, Apr Average, Netherlands, NLD
12.3001, 1956, May Average, Netherlands, NLD
12.7508, 1956, Jun Average, Netherlands, NLD
16.437, 1956, Jul Average, Netherlands, NLD
14.2803, 1956, Aug Average, Netherlands, NLD
14.6347, 1956, Sep Average, Netherlands, NLD
9.71581, 1956, Oct Average, Netherlands, NLD
4.9604, 1956, Nov Average, Netherlands, NLD
5.30915, 1956, Dec Average, Netherlands, NLD
3.33668, 1957, Jan Average, Netherlands, NLD
5.27291, 1957, Feb Average, Netherlands, NLD
8.24663, 1957, Mar Average, Netherlands, NLD
8.25658, 1957, Apr Average, Netherlands, NLD
10.3323, 1957, May Average, Netherlands, NLD
16.1085, 1957, Jun Average, Netherlands, NLD
17.5488, 1957, Jul Average, Netherlands, NLD
15.8546, 1957, Aug Average, Netherlands, NLD
12.744, 1957, Sep Average, Netherlands, NLD
10.6354, 1957, Oct Average, Netherlands, NLD
6.05824, 1957, Nov Average, Netherlands, NLD
3.08389, 1957, Dec Average, Netherlands, NLD
2.16833, 1958, Jan Average, Netherlands, NLD
3.73664, 1958, Feb Average, Netherlands, NLD
2.24824, 1958, Mar Average, Netherlands, NLD
6.03253, 1958, Apr Average, Netherlands, NLD
12.3388, 1958, May Average, Netherlands, NLD
14.3811, 1958, Jun Average, Netherlands, NLD
16.6716, 1958, Jul Average, Netherlands, NLD
17.217, 1958, Aug Average, Netherlands, NLD
15.6983, 1958, Sep Average, Netherlands, NLD
10.8294, 1958, Oct Average, Netherlands, NLD
5.39526, 1958, Nov Average, Netherlands, NLD
4.96469, 1958, Dec Average, Netherlands, NLD
1.86616, 1959, Jan Average, Netherlands, NLD
1.32941, 1959, Feb Average, Netherlands, NLD
7.19854, 1959, Mar Average, Netherlands, NLD
9.72387, 1959, Apr Average, Netherlands, NLD
13.0105, 1959, May Average, Netherlands, NLD
15.8634, 1959, Jun Average, Netherlands, NLD
18.796, 1959, Jul Average, Netherlands, NLD
18.0672, 1959, Aug Average, Netherlands, NLD
15.4189, 1959, Sep Average, Netherlands, NLD
11.1298, 1959, Oct Average, Netherlands, NLD
5.36178, 1959, Nov Average, Netherlands, NLD
4.48621, 1959, Dec Average, Netherlands, NLD
2.59022, 1960, Jan Average, Netherlands, NLD
3.05289, 1960, Feb Average, Netherlands, NLD
5.74415, 1960, Mar Average, Netherlands, NLD
8.50929, 1960, Apr Average, Netherlands, NLD
12.92, 1960, May Average, Netherlands, NLD
15.8796, 1960, Jun Average, Netherlands, NLD
15.3758, 1960, Jul Average, Netherlands, NLD
16.0512, 1960, Aug Average, Netherlands, NLD
13.5759, 1960, Sep Average, Netherlands, NLD
10.5281, 1960, Oct Average, Netherlands, NLD
7.5253, 1960, Nov Average, Netherlands, NLD
3.29778, 1960, Dec Average, Netherlands, NLD
