Temperature - (Celsius), Year, Statistics, Country, ISO3
16.1592, 1915, Jun Average, Netherlands, NLD
16.0781, 1915, Jul Average, Netherlands, NLD
16, 1915, Aug Average, Netherlands, NLD
13.4717, 1915, Sep Average, Netherlands, NLD
7.91767, 1915, Oct Average, Netherlands, NLD
3.18449, 1915, Nov Average, Netherlands, NLD
5.5409, 1915, Dec Average, Netherlands, NLD
6.02223, 1916, Jan Average, Netherlands, NLD
3.02833, 1916, Feb Average, Netherlands, NLD
4.68154, 1916, Mar Average, Netherlands, NLD
8.76666, 1916, Apr Average, Netherlands, NLD
13.1813, 1916, May Average, Netherlands, NLD
12.5331, 1916, Jun Average, Netherlands, NLD
15.5969, 1916, Jul Average, Netherlands, NLD
16.6345, 1916, Aug Average, Netherlands, NLD
13.3716, 1916, Sep Average, Netherlands, NLD
10.2303, 1916, Oct Average, Netherlands, NLD
6.19806, 1916, Nov Average, Netherlands, NLD
3.34452, 1916, Dec Average, Netherlands, NLD
-0.301, 1917, Jan Average, Netherlands, NLD
-1.254, 1917, Feb Average, Netherlands, NLD
2.00652, 1917, Mar Average, Netherlands, NLD
4.74472, 1917, Apr Average, Netherlands, NLD
14.7597, 1917, May Average, Netherlands, NLD
18.0428, 1917, Jun Average, Netherlands, NLD
17.1582, 1917, Jul Average, Netherlands, NLD
16.8394, 1917, Aug Average, Netherlands, NLD
15.0557, 1917, Sep Average, Netherlands, NLD
8.32669, 1917, Oct Average, Netherlands, NLD
7.29069, 1917, Nov Average, Netherlands, NLD
0.68015, 1917, Dec Average, Netherlands, NLD
3.049, 1918, Jan Average, Netherlands, NLD
4.15244, 1918, Feb Average, Netherlands, NLD
5.34837, 1918, Mar Average, Netherlands, NLD
8.40703, 1918, Apr Average, Netherlands, NLD
14.2079, 1918, May Average, Netherlands, NLD
13.4279, 1918, Jun Average, Netherlands, NLD
16.5511, 1918, Jul Average, Netherlands, NLD
16.5815, 1918, Aug Average, Netherlands, NLD
13.4024, 1918, Sep Average, Netherlands, NLD
9.6161, 1918, Oct Average, Netherlands, NLD
4.94367, 1918, Nov Average, Netherlands, NLD
6.30807, 1918, Dec Average, Netherlands, NLD
2.34502, 1919, Jan Average, Netherlands, NLD
1.05556, 1919, Feb Average, Netherlands, NLD
4.3965, 1919, Mar Average, Netherlands, NLD
6.48098, 1919, Apr Average, Netherlands, NLD
13.3016, 1919, May Average, Netherlands, NLD
14.7194, 1919, Jun Average, Netherlands, NLD
14.1663, 1919, Jul Average, Netherlands, NLD
16.4239, 1919, Aug Average, Netherlands, NLD
14.8364, 1919, Sep Average, Netherlands, NLD
7.37434, 1919, Oct Average, Netherlands, NLD
2.14411, 1919, Nov Average, Netherlands, NLD
3.73193, 1919, Dec Average, Netherlands, NLD
4.34308, 1920, Jan Average, Netherlands, NLD
5.73777, 1920, Feb Average, Netherlands, NLD
7.92048, 1920, Mar Average, Netherlands, NLD
9.4786, 1920, Apr Average, Netherlands, NLD
13.4669, 1920, May Average, Netherlands, NLD
15.5311, 1920, Jun Average, Netherlands, NLD
16.7956, 1920, Jul Average, Netherlands, NLD
14.915, 1920, Aug Average, Netherlands, NLD
13.5985, 1920, Sep Average, Netherlands, NLD
8.69551, 1920, Oct Average, Netherlands, NLD
3.5727, 1920, Nov Average, Netherlands, NLD
2.62804, 1920, Dec Average, Netherlands, NLD
6.21264, 1921, Jan Average, Netherlands, NLD
3.70128, 1921, Feb Average, Netherlands, NLD
7.35515, 1921, Mar Average, Netherlands, NLD
8.86953, 1921, Apr Average, Netherlands, NLD
13.7061, 1921, May Average, Netherlands, NLD
14.6219, 1921, Jun Average, Netherlands, NLD
18.4756, 1921, Jul Average, Netherlands, NLD
17.4313, 1921, Aug Average, Netherlands, NLD
14.5641, 1921, Sep Average, Netherlands, NLD
13.1978, 1921, Oct Average, Netherlands, NLD
1.61021, 1921, Nov Average, Netherlands, NLD
3.51497, 1921, Dec Average, Netherlands, NLD
0.35428, 1922, Jan Average, Netherlands, NLD
1.56062, 1922, Feb Average, Netherlands, NLD
4.69846, 1922, Mar Average, Netherlands, NLD
6.26695, 1922, Apr Average, Netherlands, NLD
13.6584, 1922, May Average, Netherlands, NLD
15.0905, 1922, Jun Average, Netherlands, NLD
15.4999, 1922, Jul Average, Netherlands, NLD
15.4232, 1922, Aug Average, Netherlands, NLD
12.4761, 1922, Sep Average, Netherlands, NLD
6.73475, 1922, Oct Average, Netherlands, NLD
4.8752, 1922, Nov Average, Netherlands, NLD
5.16573, 1922, Dec Average, Netherlands, NLD
4.17086, 1923, Jan Average, Netherlands, NLD
3.21016, 1923, Feb Average, Netherlands, NLD
6.71768, 1923, Mar Average, Netherlands, NLD
7.66197, 1923, Apr Average, Netherlands, NLD
10.7676, 1923, May Average, Netherlands, NLD
11.6491, 1923, Jun Average, Netherlands, NLD
18.8818, 1923, Jul Average, Netherlands, NLD
16.176, 1923, Aug Average, Netherlands, NLD
13.508, 1923, Sep Average, Netherlands, NLD
11.1053, 1923, Oct Average, Netherlands, NLD
3.82272, 1923, Nov Average, Netherlands, NLD
1.04617, 1923, Dec Average, Netherlands, NLD
0.40086, 1924, Jan Average, Netherlands, NLD
0.46258, 1924, Feb Average, Netherlands, NLD
3.65723, 1924, Mar Average, Netherlands, NLD
6.69936, 1924, Apr Average, Netherlands, NLD
13.5134, 1924, May Average, Netherlands, NLD
14.947, 1924, Jun Average, Netherlands, NLD
16.8152, 1924, Jul Average, Netherlands, NLD
14.88, 1924, Aug Average, Netherlands, NLD
14.2289, 1924, Sep Average, Netherlands, NLD
10.6436, 1924, Oct Average, Netherlands, NLD
5.30391, 1924, Nov Average, Netherlands, NLD
4.427, 1924, Dec Average, Netherlands, NLD
4.37255, 1925, Jan Average, Netherlands, NLD
5.23369, 1925, Feb Average, Netherlands, NLD
3.70922, 1925, Mar Average, Netherlands, NLD
8.47112, 1925, Apr Average, Netherlands, NLD
13.9977, 1925, May Average, Netherlands, NLD
14.9303, 1925, Jun Average, Netherlands, NLD
18.4722, 1925, Jul Average, Netherlands, NLD
16.7632, 1925, Aug Average, Netherlands, NLD
11.9763, 1925, Sep Average, Netherlands, NLD
10.0427, 1925, Oct Average, Netherlands, NLD
3.46143, 1925, Nov Average, Netherlands, NLD
1.95933, 1925, Dec Average, Netherlands, NLD
2.3141, 1926, Jan Average, Netherlands, NLD
6.25352, 1926, Feb Average, Netherlands, NLD
6.10239, 1926, Mar Average, Netherlands, NLD
9.99756, 1926, Apr Average, Netherlands, NLD
10.8051, 1926, May Average, Netherlands, NLD
14.0431, 1926, Jun Average, Netherlands, NLD
17.5707, 1926, Jul Average, Netherlands, NLD
16.8624, 1926, Aug Average, Netherlands, NLD
15.511, 1926, Sep Average, Netherlands, NLD
8.61072, 1926, Oct Average, Netherlands, NLD
7.04568, 1926, Nov Average, Netherlands, NLD
3.14757, 1926, Dec Average, Netherlands, NLD
4.10471, 1927, Jan Average, Netherlands, NLD
3.33089, 1927, Feb Average, Netherlands, NLD
7.29435, 1927, Mar Average, Netherlands, NLD
7.86787, 1927, Apr Average, Netherlands, NLD
11.2687, 1927, May Average, Netherlands, NLD
13.4383, 1927, Jun Average, Netherlands, NLD
17.2685, 1927, Jul Average, Netherlands, NLD
17.1434, 1927, Aug Average, Netherlands, NLD
14.2129, 1927, Sep Average, Netherlands, NLD
10.4889, 1927, Oct Average, Netherlands, NLD
4.25146, 1927, Nov Average, Netherlands, NLD
-0.5925, 1927, Dec Average, Netherlands, NLD
3.64986, 1928, Jan Average, Netherlands, NLD
4.85755, 1928, Feb Average, Netherlands, NLD
4.89098, 1928, Mar Average, Netherlands, NLD
8.36605, 1928, Apr Average, Netherlands, NLD
10.8904, 1928, May Average, Netherlands, NLD
13.8903, 1928, Jun Average, Netherlands, NLD
17.5951, 1928, Jul Average, Netherlands, NLD
16.5877, 1928, Aug Average, Netherlands, NLD
13.2966, 1928, Sep Average, Netherlands, NLD
10.06, 1928, Oct Average, Netherlands, NLD
7.89096, 1928, Nov Average, Netherlands, NLD
2.71318, 1928, Dec Average, Netherlands, NLD
-1.2862, 1929, Jan Average, Netherlands, NLD
-4.5714, 1929, Feb Average, Netherlands, NLD
4.20299, 1929, Mar Average, Netherlands, NLD
5.41015, 1929, Apr Average, Netherlands, NLD
12.7965, 1929, May Average, Netherlands, NLD
13.834, 1929, Jun Average, Netherlands, NLD
17.2833, 1929, Jul Average, Netherlands, NLD
16.9678, 1929, Aug Average, Netherlands, NLD
16.4588, 1929, Sep Average, Netherlands, NLD
10.5409, 1929, Oct Average, Netherlands, NLD
6.48096, 1929, Nov Average, Netherlands, NLD
5.73621, 1929, Dec Average, Netherlands, NLD
5.11816, 1930, Jan Average, Netherlands, NLD
2.00971, 1930, Feb Average, Netherlands, NLD
5.30621, 1930, Mar Average, Netherlands, NLD
9.00542, 1930, Apr Average, Netherlands, NLD
11.7684, 1930, May Average, Netherlands, NLD
17.6292, 1930, Jun Average, Netherlands, NLD
16.4787, 1930, Jul Average, Netherlands, NLD
16.985, 1930, Aug Average, Netherlands, NLD
14.1318, 1930, Sep Average, Netherlands, NLD
10.5117, 1930, Oct Average, Netherlands, NLD
7.45413, 1930, Nov Average, Netherlands, NLD
2.94434, 1930, Dec Average, Netherlands, NLD
